22.5.2017,42:32,90.0
29.5.2017,45:55,90.0
5.6.2017,46:42,90.0
12.6.2017,45:20,90.0
19.6.2017,44:52,89.0
26.6.2017,44:37,89.0
3.7.2017,45:12,89.0
14.7.2017,44:12,89.0
23.7.2017,44:50,89.0
28.7.2017,44:41,89.0
31.7.2017,45:57,89.0
7.8.2017,45:15,89.0
14.8.2017,45:06,89.0
21.8.2017,46:27,89.0
11.10.2017,45:20,88.9
14.10.2017,45:20,88.7
23.10.2017,43:53,88.7
30.10.2017,40:50,89.2
6.11.2017,40:50,89.2
13.11.2017,41:41,89.9
20.11.2017,42:59,90.9
27.11.2017,42:28,90.9
4.12.2017,44:02,90.6
11.12.2017,44:13,92.6
20.12.2017,43:40,90.5
27.12.2017,42:47,91.0
2.1.2018,43:39,92.0
8.1.2018,42:53,90.0
15.1.2018,44:28,90.0
22.1.2018,43:26,91.5
29.1.2018,43:30,91.2
5.2.2018,41:57,90.7
12.2.2018,42:57,92.0
19.2.2018,44:12,90.8
26.2.2018,43:32,91.7
5.3.2018,44:27,91.7
19.3.2018,46:08,90.5
26.3.2018,42:09,88.5
3.4.2018,44:34,89.2
9.4.2018,45:27,89.6
16.4.2018,45:47,88.2
23.4.2018,44:43,88.6
25.4.2018,45:09,88.5
27.4.2018,44:30,87.6
30.4.2018,45:09,88.8
2.5.2018,44:45,88.6
4.5.2018,46:06,88.3
7.5.2018,45:0,88.6
9.5.2018,45:0,88.6
11.5.2018,45:20,87.6
14.5.2018,43:0,88.8
18.5.2018,44:0,88.8
21.5.2018,42:0,88.8
24.5.2018,43:0,88.8
25.6.2018,47:0,87.0
28.6.2018,44:12,86.8
9.7.2018,43:46,85.0
12.7.2018,45:46,88.5
16.7.2018,43:56,88.3
19.7.2018,42:51,88.4
9.8.2018,42:58,89.0
16.8.2018,42:55,89.0
20.8.2018,46:30,90.4
23.8.2018,45:19,90.4
27.8.2018,45:45,91.0
30.8.2018,46:38,91.0
3.9.2018,45:49,89.8
6.9.2018,45:36,90.5
13.9.2018,45:05,90.5
17.9.2018,46:17,90.5
20.9.2018,42:05,91.0
24.9.2018,45:54,90.3
1.10.2018,43:04,89.5
4.10.2018,43:16,90.0
8.10.2018,42:40,88.8
11.10.2018,42:53,89.0
15.10.2018,42:21,90.6
18.10.2018,41:32,90.0
23.10.2018,42:27,90.7
6.11.2018,42:21,90.7
9.11.2018,42:05,90.8
13.11.2018,42:32,90.1
16.11.2018,42:53,90.0
20.11.2018,42:33,90.0
23.11.2018,42:0,90.0
27.11.2018,42:10,90.4
30.11.2018,42:45,90.0
4.12.2018,42:47,90.1
7.12.2018,40:45,90.0
11.12.2018,43:32,89.4
14.12.2018,43:07,90.0
21.12.2018,43:19,90.0
